"","Site","SampleID","Sex","Family","Morphospecies","X","Size","Habitat","Period","SiteID"
"1","10L",1053,"F","Apidae","Apis mellifera","","Large","Hive",5,"20"
"2","10L",1030,"F","Apidae","Apis mellifera","","Large","Hive",6,"20"
"3","10L",1294,"M","Apidae","Melissodes agilis","Melissodes C – orange thorax fuzz, striped abdomen (orangeish)","Large","Soil",6,"20"
"4","10L",1739,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"20"
"5","10L",1587,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"20"
"6","10L",1593,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"7","10L",2152,"","Halictidae","Lasioglossum anomalum","","Small","Soil",5,"20"
"8","10L",1205,"F","Apidae","Ceratina dupla","","Small","Wood",2,"20"
"9","10L",1710,"","Halictidae","Halictus ligatus","Female","Small","Soil",3,"20"
"10","10L",2020,"","Halictidae","Lasioglossum platatum","","Small","Soil",4,"20"
"11","10L",1856,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",1,"20"
"12","10L",1025,"F","Apidae","Apis mellifera","","Large","Hive",4,"20"
"13","10L",1609,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"20"
"14","10L",1704,"","Halictidae","Lasioglossum spp.","","medium","Soil",5,"20"
"15","10L",1461,"M","Halictidae","Agapostemon virescens","","Medium","Soil",5,"20"
"16","10L",1810,"","Megachilidae","Stelis nitida","Male","Medium","Wood",2,"20"
"17","10L",1735,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"20"
"18","10L",1499,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"19","10L",1020,"F","Apidae","Apis mellifera","","Large","Hive",5,"20"
"20","10L",2222,"","Halictidae","Lasioglossum taylorae","","Small","Soil",5,"20"
"21","10L",2186,"","Halictidae","Lasioglossum anomalum","","Small","Soil",1,"20"
"22","10L",2049,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",1,"20"
"23","10L",1716,"","Halictidae","Halictus ligatus","Female","Small","Soil",3,"20"
"24","10L",1608,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"20"
"25","10L",1705,"","Halictidae","Halictus ligatus","Female","Small","Soil",6,"20"
"26","10L",2064,"","Halictidae","Lasioglossum pruinosum","","Small","Soil",1,"20"
"27","10L",1562,"F","Halictidae","Agapostemon virescens","","Medium","Soil",5,"20"
"28","10L",1696,"","Halictidae","Halictus ligatus","Female","Small","Soil",5,"20"
"29","10L",1755,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"20"
"30","10L",1586,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"20"
"31","10L",2063,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"20"
"32","10L",1613,"F","Halictidae","Agapostemon virescens","","Medium","Soil",5,"20"
"33","10L",1216,"M","Apidae","Ceratina dupla","","Small","Wood",1,"20"
"34","10L",1526,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"35","10L",1495,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"36","10L",1528,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"37","10L",1654,"","Halictidae","Halictus rubicundus","","Medium","Soil",3,"20"
"38","10L",1521,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"39","10L",2078,"","Halictidae","Lasioglossum imatatum","","Small","Soil",5,"20"
"40","10L",1571,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"20"
"41","10L",1508,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"42","10L",1227,"M","Apidae","Florilegus condiginus","Florilegus  - large light yellow hair thorax abdomen","Large","Soil",2,"20"
"43","10L",1660,"","Halictidae","Halictus ligatus","Female","Medium","Soil",3,"20"
"44","10L",1564,"F","Halictidae","Agapostemon virescens","","Medium","Soil",5,"20"
"45","10L",1785,"","Megachilidae","Anthidium maculifrons","","Medium","Wood",2,"20"
"46","10L",1035,"F","Apidae","Apis mellifera","","Large","Hive",4,"20"
"47","10L",1527,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"48","10L",1510,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"49","10L",1542,"","Andrenidae","Andrena crataegi","Female","Medium","Soil",2,"20"
"50","10L",1459,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"20"
"51","10L",1754,"","Megachilidae","Megachile mendica","Female","Medium","Wood",4,"20"
"52","10L",1498,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"53","10L",1024,"F","Apidae","Apis mellifera","","Large","Hive",5,"20"
"54","10L",1592,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"55","10L",1752,"","Megachilidae","Megachile mendica","Female","Medium","Wood",4,"20"
"56","10L",1509,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"57","10L",2091,"","Halictidae","Lasioglossum smilacinae","","Small","Soil",5,"20"
"58","10L",1497,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"59","10L",1523,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"60","10L",1023,"F","Apidae","Apis mellifera","","Large","Hive",2,"20"
"61","10L",1522,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"20"
"62","11H",2311,"","Colletidae","Hylaeus mesillae","Male","tiny","Wood",4,"22"
"63","11H",1295,"M","Apidae","Melissodes agilis","Melissodes C – orange thorax fuzz, striped abdomen (orangeish)","Large","Soil",6,"22"
"64","11H",1987,"","Halictidae","Lasioglossum zephyrum","","Small","Soil",5,"22"
"65","11H",2100,"","Halictidae","Lasioglossum anomalum","","Small","Soil",5,"22"
"66","11H",2272,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",3,"22"
"67","11H",1803,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",5,"22"
"68","11H",2045,"","Halictidae","Lasioglossum platatum","","Small","Soil",5,"22"
"69","11H",1722,"","Megachilidae","Megachile latimanus","","Medium","Wood",2,"22"
"70","11H",2262,"","Colletidae","Hylaeus annulatus","Female","tiny","Wood",4,"22"
"71","11H",2182,"","Halictidae","Lasioglossum platatum","","Small","Soil",5,"22"
"72","11H",2199,"","Halictidae","Lasioglossum spp.","","Small","Soil",4,"22"
"73","11H",1293,"M","Apidae","Melissodes agilis","Melissodes C – orange thorax fuzz, striped abdomen (orangeish)","Large","Soil",6,"22"
"74","11H",1076,"F","Apidae","Bombus impatience","","Large","Cavity",3,"22"
"75","11H",1329,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"22"
"76","11H",1787,"","Megachilidae","Stelis nitida","Male","Medium","Wood",4,"22"
"77","11H",1932,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"22"
"78","11H",2365,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"22"
"79","11H",2316,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",5,"22"
"80","11H",1963,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"22"
"81","11H",2217,"","Halictidae","Lasioglossum weemsi","","Small","Soil",3,"22"
"82","11H",1073,"F","Apidae","Bombus impatience","","Large","Cavity",5,"22"
"83","11H",1681,"","Halictidae","Lasioglossum spp.","","Small","Soil",4,"22"
"84","11H",2289,"","Colletidae","Hylaeus annulatus","Female","tiny","Wood",4,"22"
"85","11H",2261,"","Colletidae","Hylaeus annulatus","Female","tiny","Wood",1,"22"
"86","11H",1734,"","Megachilidae","Megachile relativa","","Medium","Wood",6,"22"
"87","11H",1859,"","Halictidae","Lasioglossum spp.","","large","Soil",4,"22"
"88","11H",2030,"","Halictidae","Lasioglossum spp.","","Small","Soil",3,"22"
"89","11H",1783,"","Megachilidae","Stelis louisae","Female","Medium","Wood",3,"22"
"90","11H",1136,"F","Apidae","Ceratina calcarata","","Small","Wood",3,"22"
"91","11H",1055,"F","Apidae","Apis mellifera","","Large","Hive",5,"22"
"92","11H",1653,"","Halictidae","Halictus ligatus","Female","Medium","Soil",3,"22"
"93","11H",1639,"","Halictidae","Halictus rubicundus","","Medium","Soil",3,"22"
"94","11H",1667,"","Halictidae","Halictus ligatus","Female","Medium","Soil",4,"22"
"95","11H",2099,"","Halictidae","Lasioglossum cressonii","","Small","Wood",5,"22"
"96","11H",1991,"","Halictidae","Lasioglossum pilosum","","Small","Soil",5,"22"
"97","11H",2113,"","Halictidae","Lasioglossum anomalum","","Small","Soil",4,"22"
"98","11H",1712,"","Halictidae","Halictus ligatus","Female","Small","Soil",5,"22"
"99","11H",1468,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"22"
"100","11H",2041,"","Halictidae","Lasioglossum hartii","","Small","Soil",4,"22"
"101","11H",2027,"","Halictidae","Lasioglossum pruinosum","","Small","Soil",6,"22"
"102","11H",1314,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",6,"22"
"103","11H",2158,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",1,"22"
"104","11H",1637,"","Halictidae","Halictus rubicundus","","Medium","Soil",4,"22"
"105","11H",2121,"","Halictidae","Lasioglossum spp.","","Small","Soil",4,"22"
"106","11H",1934,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",5,"22"
"107","11H",1680,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"22"
"108","11H",1640,"","Halictidae","Halictus rubicundus","","Medium","Soil",4,"22"
"109","11H",1912,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",3,"22"
"110","11H",1790,"","Megachilidae","Anthidium oblongatum","","Medium","Wood",6,"22"
"111","11H",1846,"","Colletidae","Colletes spp.","","Medium","Soil",4,"22"
"112","11H",2112,"","Halictidae","Lasioglossum imatatum","","Small","Soil",4,"22"
"113","11H",1928,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",5,"22"
"114","11H",1918,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",6,"22"
"115","11H",2107,"","Halictidae","Lasioglossum spp.","","Small","Soil",1,"22"
"116","11H",1364,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",5,"22"
"117","11H",2292,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"22"
"118","11H",1083,"F","Apidae","Bombus impatience","","Large","Cavity",4,"22"
"119","11H",2268,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",6,"22"
"120","11H",1894,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"22"
"121","11H",1974,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"22"
"122","11H",1895,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"22"
"123","11H",2003,"","Halictidae","Lasioglossum spp.","","Small","Soil",4,"22"
"124","11H",1868,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"22"
"125","11H",1420,"","Halictidae","Augochlorella aurata","","Medium","Soil",5,"22"
"126","11H",1871,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"22"
"127","11H",1566,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"22"
"128","11H",1635,"","Halictidae","Halictus rubicundus","","Medium","Soil",4,"22"
"129","11H",2002,"","Halictidae","Lasioglossum pilosum","","Small","Soil",4,"22"
"130","11H",2267,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"22"
"131","11H",2092,"","Halictidae","Lasioglossum imatatum","","Small","Soil",5,"22"
"132","11H",2000,"","Halictidae","Lasioglossum atwoodi","","Small","Soil",6,"22"
"133","11H",2004,"","Halictidae","Lasioglossum cressonii","","Small","Wood",3,"22"
"134","11H",1706,"","Halictidae","Halictus ligatus","Female","Small","Soil",6,"22"
"135","11H",1597,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"22"
"136","11H",1973,"","Halictidae","Lasioglossum pilosum","","Small","Soil",5,"22"
"137","11H",1891,"","Halictidae","Lasioglossum egregium","","Medium","Soil",5,"22"
"138","11H",1634,"","Halictidae","Halictus rubicundus","","Medium","Soil",4,"22"
"139","11H",1320,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",4,"22"
"140","11H",2282,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"22"
"141","11H",2117,"","Halictidae","Lasioglossum taylorae","","Small","Soil",5,"22"
"142","11H",1247,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"22"
"143","11H",1661,"","Halictidae","Halictus parallelus","","Medium","Soil",4,"22"
"144","11H",1457,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"22"
"145","11H",1321,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",4,"22"
"146","11H",1262,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"22"
"147","11H",1881,"","Halictidae","Lasioglossum leucozonium","","Medium","Soil",3,"22"
"148","11H",1446,"M","Halictidae","Agapostemon virescens","","Medium","Soil",5,"22"
"149","11H",1631,"","Halictidae","Halictus rubicundus","","Medium","Soil",3,"22"
"150","11H",1362,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",5,"22"
"151","11H",1648,"","Halictidae","Halictus ligatus","Female","Medium","Soil",5,"22"
"152","11H",1068,"F","Apidae","Bombus impatience","","Large","Cavity",5,"22"
"153","11H",1568,"F","Halictidae","Agapostemon virescens","","Medium","Soil",6,"22"
"154","11H",1270,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"22"
"155","11H",1675,"","Halictidae","Halictus ligatus","Female","Small","Soil",4,"22"
"156","11H",2096,"","Halictidae","Lasioglossum illinoense","","Small","Soil",4,"22"
"157","11H",2009,"","Halictidae","Lasioglossum versans","","Small","Soil",4,"22"
"158","11H",1124,"F","Apidae","Ceratina calcarata","","Small","Wood",3,"22"
"159","11H",1941,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"22"
"160","11H",2307,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",4,"22"
"161","11H",1432,"","Halictidae","Augochlorella aurata","","Medium","Soil",5,"22"
"162","11H",1644,"","Halictidae","Halictus rubicundus","","Medium","Soil",4,"22"
"163","11H",2007,"","Halictidae","Lasioglossum zephyrum","","Small","Soil",4,"22"
"164","11H",2372,"","Colletidae","Hylaeus floridanus","Female","tiny","Wood",1,"22"
"165","11H",1677,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"22"
"166","11H",1643,"","Halictidae","Halictus rubicundus","","Medium","Soil",4,"22"
"167","11H",1469,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"22"
"168","11H",1645,"","Halictidae","Halictus ligatus","Female","Medium","Soil",1,"22"
"169","11L",1933,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"21"
"170","11L",1545,"","Andrenidae","Halictus ligatus","Female","Small","Soil",1,"21"
"171","11L",2097,"","Halictidae","Lasioglossum cressonii","","Small","Wood",5,"21"
"172","11L",2144,"","Halictidae","Lasioglossum taylorae","","Small","Soil",2,"21"
"173","11L",2047,"","Halictidae","Lasioglossum atwoodi","","Small","Soil",2,"21"
"174","11L",2156,"","Halictidae","Lasioglossum nigroviride","","Small","Soil",2,"21"
"175","11L",2208,"","Halictidae","Lasioglossum anomalum","","Small","Soil",1,"21"
"176","11L",2016,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"21"
"177","12H",1748,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"23"
"178","12H",1463,"F","Halictidae","Agapostemon virescens","","Medium","Soil",1,"23"
"179","12H",1976,"","Halictidae","Lasioglossum pilosum","","Small","Soil",4,"23"
"180","12H",1232,"M","Apidae","Melissodes bimaculatus","","Large","Soil",5,"23"
"181","12H",2314,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"23"
"182","12H",2165,"","Halictidae","Lasioglossum taylorae","","Small","Soil",1,"23"
"183","12H",1615,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"23"
"184","12H",1751,"","Megachilidae","Megachile mendica","Female","Medium","Wood",5,"23"
"185","12H",1665,"","Halictidae","Halictus ligatus","Female","Medium","Soil",1,"23"
"186","12H",2317,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",4,"23"
"187","12H",1746,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"23"
"188","12H",1451,"M","Halictidae","Agapostemon virescens","","Medium","Soil",5,"23"
"189","12H",2140,"","Halictidae","Lasioglossum imatatum","","Small","Soil",2,"23"
"190","12H",1019,"F","Apidae","Apis mellifera","","Large","Hive",2,"23"
"191","12H",1383,"","Halictidae","Agapostemon sericeus","","Medium","Soil",2,"23"
"192","12H",2270,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"23"
"193","12H",2265,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"23"
"194","12H",1761,"","Megachilidae","Colletes spp.","Male","Medium/Small","Soil",2,"23"
"195","12H",2116,"","Halictidae","Lasioglossum taylorae","","Small","Soil",3,"23"
"196","12H",1346,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",5,"23"
"197","12H",1718,"","Halictidae","Halictus ligatus","Female","Small","Soil",4,"23"
"198","12H",1673,"","Halictidae","Halictus ligatus","Female","Small","Soil",1,"23"
"199","12H",1139,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"23"
"200","12H",2120,"","Halictidae","Lasioglossum coreopsis","","Small","Soil",3,"23"
"201","12H",2287,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"23"
"202","12H",1074,"F","Apidae","Bombus impatience","","Large","Cavity",5,"23"
"203","12H",1491,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"23"
"204","12H",1151,"F","Apidae","Ceratina calcarata","","Small","Wood",5,"23"
"205","12H",2327,"","Halictidae","Sphecodes spp.","","medium","Soil",2,"23"
"206","12H",2197,"","Halictidae","Lasioglossum curculum","","Small","Soil",1,"23"
"207","12H",2275,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"23"
"208","12H",1236,"M","Apidae","Melissodes bimaculatus","","Large","Soil",5,"23"
"209","12H",2215,"","Halictidae","Lasioglossum anomalum","","Small","Soil",1,"23"
"210","12H",1917,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"23"
"211","12H",1282,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"23"
"212","12H",2256,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"23"
"213","12H",2255,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",6,"23"
"214","12H",2070,"","Halictidae","Lasioglossum platatum","","Small","Soil",5,"23"
"215","12H",1130,"F","Apidae","Ceratina dupla","","Small","Wood",2,"23"
"216","12H",1721,"","Megachilidae","Megachile latimanus","","Medium","Wood",5,"23"
"217","12H",1747,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"23"
"218","12H",1518,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"23"
"219","12H",1322,"M","Apidae","Melissodes boltonae","Melissodes F – like male bimac but with some yellow thorax fuzz, white femur scopa","Large","Soil",5,"23"
"220","12H",1323,"M","Apidae","Melissodes boltonae","Melissodes F – like male bimac but with some yellow thorax fuzz, white femur scopa","Large","Soil",5,"23"
"221","12H",1193,"F","Apidae","Ceratina dupla","","Small","Wood",3,"23"
"222","12H",1743,"","Megachilidae","Megachile mendica","Female","Medium","Wood",5,"23"
"223","12H",1324,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",5,"23"
"224","12H",1039,"F","Apidae","Apis mellifera","","Large","Hive",4,"23"
"225","12H",1773,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",4,"23"
"226","12H",1326,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"23"
"227","12H",1086,"F","Apidae","Bombus impatience","","Large","Cavity",5,"23"
"228","12H",1287,"M","Apidae","Melissodes druriellus","","Large","Soil",4,"23"
"229","12H",1455,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"23"
"230","12H",1612,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"23"
"231","12H",1676,"","Halictidae","Halictus ligatus","Female","Small","Soil",4,"23"
"232","12H",1701,"","Halictidae","Halictus ligatus","Female","Small","Soil",2,"23"
"233","12H",1757,"","Megachilidae","Lasioglossum spp.","","Medium","Soil",2,"23"
"234","12H",1849,"","Colletidae","Colletes spp.","","Medium","Soil",1,"23"
"235","12H",1764,"","Megachilidae","Lasioglossum spp.","","Medium","Soil",5,"23"
"236","12H",1202,"F","Apidae","Ceratina calcarata","","Small","Wood",5,"23"
"237","12H",1636,"","Halictidae","Halictus rubicundus","","Medium","Soil",4,"23"
"238","12H",1632,"","Halictidae","Halictus rubicundus","","Medium","Soil",5,"23"
"239","12H",1281,"F","Apidae","Melissodes bimaculatus","","Large","Soil",4,"23"
"240","12H",1065,"F","Apidae","Bombus impatience","","Large","Cavity",5,"23"
"241","12H",1122,"F","Apidae","Ceratina calcarata","","Small","Wood",5,"23"
"242","12H",1080,"F","Apidae","Bombus impatience","","Large","Cavity",5,"23"
"243","12H",2302,"","Colletidae","Hylaeus rudbeckiae","Male","tiny","Wood",1,"23"
"244","12H",1041,"F","Apidae","Apis mellifera","","Large","Hive",5,"23"
"245","12L",2266,"","Colletidae","Hylaeus annulatus","Female","tiny","Wood",3,"24"
"246","12L",1466,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"24"
"247","12L",2276,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"24"
"248","12L",1094,"F","Apidae","Bombus bimaculatus","","Large","Cavity",5,"24"
"249","12L",2368,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"24"
"250","12L",1584,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"24"
"251","12L",1014,"F","Apidae","Apis mellifera","","Large","Hive",1,"24"
"252","12L",1479,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"24"
"253","12L",1549,"","Andrenidae","Andrena nasonii","Female","Small","Soil",1,"24"
"254","12L",1480,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"24"
"255","12L",1560,"","Andrenidae","Andrena nasonii","Female","Small","Soil",5,"24"
"256","12L",1280,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"24"
"257","12L",1558,"","Andrenidae","Andrena erythronii","","Small","Soil",5,"24"
"258","12L",1042,"F","Apidae","Apis mellifera","","Large","Hive",5,"24"
"259","12L",2175,"","Halictidae","Lasioglossum taylorae","","Small","Soil",3,"24"
"260","12L",2259,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",3,"24"
"261","12L",2294,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"24"
"262","12L",2198,"","Halictidae","Lasioglossum anomalum","","Small","Soil",3,"24"
"263","12L",1147,"F","Apidae","Ceratina dupla","","Small","Wood",1,"24"
"264","12L",2201,"","Halictidae","Lasioglossum anomalum","","Small","Soil",5,"24"
"265","12L",1028,"F","Apidae","Apis mellifera","","Large","Hive",6,"24"
"266","12L",1279,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"24"
"267","12L",2174,"","Halictidae","Lasioglossum anomalum","","Small","Soil",3,"24"
"268","13H",1614,"F","Halictidae","Agapostemon virescens","","Medium","Soil",6,"25"
"269","13H",1292,"M","Apidae","Melissodes tinctus","Melissodes B  – white light femur scopa, striped abdomen, white thorax fuzz","Large","Soil",3,"25"
